Variable / Field Name	Form Name	Section Header	Field Type	Field Label	Choices, Calculations, OR Slider Labels	Field Note	Text Validation Type OR Show Slider Number	Text Validation Min	Text Validation Max	Identifier?	Branching Logic (Show field only if...)	Required Field?	Custom Alignment	Question Number (surveys only)	Matrix Group Name	Matrix Ranking?	Field Annotation
record_id	sparco_base_data		text	Research Subject ID <a href="http://scdontology.h3abionet.org/ontology/SCDO_0000304">Research ID</a>													
consent_obtained	sparco_base_data	Consent	radio	Has the patient consented?	1, Yes | 0, No | -996, Refused | -997, Truly unknown												
consent_type	sparco_base_data		checkbox	Type of informed consent	1, Study enrollment | 2, Specimen Storage Consent | 3, Genetic Material Storage Consent | 4, Broad consent												
consent_date	sparco_base_data		text	Date subject signed consent			date_dmy										
consented_by	sparco_base_data		text	Consented by:		Who managed the consent process?											
consent_file	sparco_base_data		file	Upload the consent form													
date_today	sparco_base_data	Basic Demographics	text	Visit Date (dd/mm/yyyy)			date_dmy										
participant_number	sparco_base_data		text	Participant  Number		Site-specific ID eg. GH20181234 for Ghana, NG20184321 for Nigeria or TZ20180001 for Tanzania											
scd_number	sparco_base_data		text	SCD Number													
first_name	sparco_base_data		text	First Name						y							
middle_name	sparco_base_data		text	Middle Name						y							
last_name	sparco_base_data		text	Last Name						y							
date_of_birth	sparco_base_data		text	Date of Birth (dd/mm/yyyy)			date_dmy			y							
gender	sparco_base_data		radio	Gender	1, Male | 0, Female | -996, Refused | -997, Truly unknown								RH				
age_at_enrolment_calc	sparco_base_data		calc	Calculated age (in months)	datediff([date_today],[date_of_birth], "M","dmy")	Age on day of Visit							RH				
age_at_enrolment_selfreport	sparco_base_data		text	Self-reported age (in years)		Age on day of Visit							RH				
tribe	sparco_base_data		text	Tribe						y							
residence	sparco_base_data	CONTACTS	text	Residence						y							
street	sparco_base_data		text	Street						y							
ward	sparco_base_data		text	Ward						y							
district	sparco_base_data		text	District						y							
region	sparco_base_data		text	Region						y							
telephone1	sparco_base_data		text	Telephone1						y							
telephone2	sparco_base_data		text	Telephone2						y							
next_of_kin_name	sparco_base_data		text	Next of kin Name						y							
next_of_kin_relationship	sparco_base_data		text	Relationship to the Patient	1, Married to a person of the opposite sex | 2, Married to a person of the same sex | 3, Not married but living together with a partner of the opposite sex | 5, Not married but living together with a partner of the same sex | 6, Widowed | 7, Divorced or annulled | 8, Separated | 9, Never been married | 99, Other					y							
next_of_kin_telephone_numb	sparco_base_data		text	Next of Kin Telephone Number						y	[marital_status] = '10'						
diagnosis_date_known	sparco_base_data	Diagnosis Details	yesno	Is date of diagnosis known?													
exact_diagnosis_date	sparco_base_data		text	Date of diagnosis			date_dmy				[diagnosis_date_known] = '1'						
year_of_diagnosis	sparco_base_data		dropdown	Year of Diagnosis	-997, Truly unknown | 1900, 1900 | 1901, 1901 | 1902, 1902 | 1903, 1903 | 1904, 1904 | 1905, 1905 | 1906, 1906 | 1907, 1907 | 1908, 1908 | 1909, 1909 | 1910, 1910 | 1911, 1911 | 1912, 1912 | 1913, 1913 | 1914, 1914 | 1915, 1915 | 1916, 1916 | 1917, 1917 |						[diagnosis_date_known] = '0'						
month_of_diagnosis	sparco_base_data		dropdown	Month of Diagnosis	-997, Truly unknown | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12						[diagnosis_date_known] = '0'						
age_at_diagnosis_years	sparco_base_data		text	Age in years at diagnosis													
age_at_diagnosis_months	sparco_base_data		text	Age in months at diagnosis													
scd_test_result	sparco_base_data		dropdown	SCD Test Result	1, SS | 2, SBThal | 3, SC | 4, AS								RH				
type_of_test	sparco_base_data		dropdown	Type of test?	1, HPLC | 2, HBE | 3, IEF | 4, Basique | 5, Acide | 99, Other		autocomplete										
other_test	sparco_base_data		text	If other test, please specify:							[type_of_test] = '4'						
abo_blood_group	sparco_base_data		dropdown	ABO Blood Group	1, A+ | 2, A- | 3, B+ | 4, B- | 5, O+ | 6, O- | 7, AB+ | 8, AB-												
using_hydroxyurea	sparco_base_data	Management Details	yesno	Using Hydroxyurea									RH				
date_of_initiation_of_hydr	sparco_base_data		text	Date of Initiation of Hydroxyurea Therapy			date_dmy										
penicillin_v_prophylaxis	sparco_base_data		radio	Penicillin V (prophylaxis)	1, Yes | 0, No | -993, Not required / Not necessary								RH				
folic_acid	sparco_base_data		yesno	Folic Acid									RH				
antimalaria_prophylaxis	sparco_base_data		radio	Anti Malaria Prophylaxis	1, Yes | 0, No | -993, Not required / Not necessary								RH				
pneumococcal_vacc_uptodate	sparco_base_data		yesno	Pneumococcal Vaccination up to date									RH				
added_by	sparco_base_data		text	Added by													@USERNAME @READONLY-FORM @HIDDEN
add_date	sparco_base_data		text	Add Date			date_dmy										@TODAY @READONLY-FORM @HIDDEN
cbc_redbloodcount	sparco_base_data	Laboratory Results: Complete Blood Count	text	Red blood cell count		million cells/uL											
cbc_whitebloodcount	sparco_base_data		text	White blood cell count (WBC)		1000 cells/uL											
